agendaItem,date,development,Issue,section,zone,address,result,berniceRadle,thomasDearing,janiceMckinnie,jamesLewis,anthonyDiina,details,meetingId,agendaLink
3631,4/19/2017 2:00p,Expand existing building,Add Elevator & Stair Tower Not Meeting Required Setbacks,496-3.2.5.C,N-2C,145 Broadway,approve,a,a,a,a,a,,1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3631&CssClass=
3636,4/19/2017 2:00p,Construct garage,Garage Not Permitted Forwards Of A Principal Buidling,496-6.2.1.D.3,N-2R,355 Linwood Avenue,deny,a,n,a,a,a,"Denied because the owner didn't meet the financial hardship criteria as well as it does not meet the character of the neighborhood; there are other alternatives that could be used that would meet their codes which the applicant did not care to
seek.",1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3636&CssClass=
3671,4/19/2017 2:00p,Establish a Parking Pad,Not Permitted In Front Yard,496-8.3.3.A,N-2R,385 Vermont,deny,a,a,a,a,a,Denied based on the negative impact on the residential character of the neighborhood by way of eliminating front/lawn green space and the presence of alternatives of on street parking.,1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3671&CssClass=
3676,4/19/2017 2:00p,Establish Parking Pad,Not Permitted In Front Yard,496-8.3.3.A,N-2R,115 Plymouth Avenue,conditions,a,n,a,a,a,Conditions: Applicant must move the parking pad over two feet to the left (facing the house) to ensure the easement can be met.,1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3676&CssClass=
3677,4/19/2017 2:00p,Add Units to Existing Multi-Unit Dwelling,Exceeding Residential Density,496-3.2.1.E,N-2R,49 Cottage Street,approve,a,a,a,a,a,,1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3677&CssClass=
3678,4/19/2017 2:00p,Divide Two Existing Lots,Deficient In Area,496-3.2.6.C,N-3R,105 Urban Street,withdrawn,,,,,,"Variance wavied by the Permits & Inspetions Department - therefore ""No Action Needed"" from this board.",1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3678&CssClass=
3679,4/19/2017 2:00p,Establish Food Vending Use,Use Not Allowed In Zone,496-6.1.1,N-2R,36 Massachusetts Avenue,deny,a,a,a,a,a,Denied because this is a residential neighborhood and the applicant is requesting a use variance which is not allowed in this zone.,1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3679&CssClass=
3680,4/19/2017 2:00p,Establish Parking Pad,Not Permitted In Front Yard,496-8.3.3.A,N-2R,470 West Delavan Avenue,conditions,a,a,a,a,a,Conditions: Parking pad be of a permeable type construction material. Replacement with two trees for the one that is being removed.,1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3680&CssClass=
3681,4/19/2017 2:00p,Establish Multi Unit Dwelling and Office Use,Establish Commercial Use Not Allowed In Zone,496-6A,N-2R,730 West Avenue,deny,a,a,a,a,a,"The board denied the ""Commercial Use"" for the gym - because it is a residential neighborhood and doesn't fit the character of the neighborhood; no hardship proved by the applicant.",1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3681&CssClass=
3681,4/19/2017 2:00p,Establish Multi Unit Dwelling and Office Use,Exceeding Allowed Residential Density,496-3.2.1.E,N-2R,730 West Avenue,approve,a,a,a,a,a,"The board approved the variance for ""Exceeding the Allowed Residential Density"".",1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3681&CssClass=
